"registration_date,""stolen_date"",""brand"",""model"",""province"""
"1981-09-16,""2017-01-11"",""LAMBRETTA"",""150 SP"",""MA"""
"2005-07-22,""2017-01-11"",""SUZUKI"",""UH125"",""B"""
"1995-08-09,""2017-01-11"",""VESPA"",""SKIPPER 150"",""M"""
"2015-04-28,""2017-01-11"",""YAMAHA"",""YP250R"",""B"""
"1968-07-24,""2017-01-11"",""BULTACO"",""LOBITO"",""B"""
"2013-02-21,""2017-01-11"",""SUZUKI"",""UH125"",""SE"""
"2014-10-28,""2017-01-11"",""PIAGGIO"",""BEVERLY 125 I.E."",""M"""
"1986-06-25,""2017-01-11"",""HONDA"",""MBX 75"",""M"""
"2014-10-07,""2017-01-12"",""PIAGGIO"",""X EVO 125"",""M"""
"2005-04-04,""2017-01-12"",""DAELIM"",""ROADWIN"",""AL"""
"2005-09-26,""2017-01-12"",""HONDA"",""CBR600RR"",""CA"""
"1993-04-07,""2017-01-12"",""HONDA"",""XR600R"",""BA"""
"2013-11-07,""2017-01-12"",""HONDA"",""NSC110MPD"",""M"""
"2006-07-19,""2017-01-12"",""GAS-GAS"",""ENDUCROSS"",""BA"""
"2015-08-04,""2017-01-12"",""YAMAHA"",""XP500"",""M"""
"2005-09-05,""2017-01-12"",""KYMCO"",""BET WIN 125"",""M"""
"2013-01-03,""2017-01-12"",""KYMCO"",""AGILITY CITY 125"",""SS"""
"2014-04-23,""2017-01-12"",""YAMAHA"",""YP400R"",""B"""
"2008-12-30,""2017-01-12"",""KYMCO"",""YAGER GT 125"",""B"""
"2016-09-29,""2017-01-12"",""KAWASAKI"",""ER-6N"",""B"""
"2016-01-05,""2017-01-12"",""HONDA"",""SH125D"",""B"""
"1991-02-19,""2017-01-12"",""HONDA"",""SCOOPY 75"",""B"""
"2016-09-27,""2017-01-12"",""HONDA"",""SH125AD"",""B"""
"2006-05-04,""2017-01-12"",""GAS-GAS"",""INDUCROSS"",""BA"""
"2007-08-17,""2017-01-13"",""HONDA"",""SES125"",""CO"""
"1991-03-27,""2017-01-13"",""HONDA"",""SCOOPY 75"",""B"""
"2007-06-04,""2017-01-13"",""HONDA"",""SES125"",""M"""
"2005-07-26,""2017-01-13"",""HONDA"",""SES125"",""M"""
"2012-06-29,""2017-01-13"",""PIAGGIO"",""VESPA GTS SUPER 300"",""IB"""
"2007-06-19,""2017-01-13"",""YAMAHA"",""YP250R"",""A"""
"2013-02-01,""2017-01-13"",""KYMCO"",""SUPER DINK 300 ABS"",""M"""
"2014-10-30,""2017-01-13"",""YAMAHA"",""XP500"",""B"""
"2007-01-15,""2017-01-13"",""HONDA"",""SH150"",""GR"""
"2016-10-21,""2017-01-13"",""HONDA"",""SH125D"",""B"""
"2006-06-16,""2017-01-13"",""HONDA"",""SH150"",""B"""
"2007-02-08,""2017-01-13"",""HONDA"",""SH300"",""B"""
"2016-05-31,""2017-01-13"",""HONDA"",""SH125D"",""B"""
"2005-06-30,""2017-01-13"",""KYMCO"",""BET WIN 250"",""V"""
"2016-01-15,""2017-01-13"",""KYMCO"",""SUPER DINK 125"",""B"""
"2006-09-27,""2017-01-13"",""YAMAHA"",""YP125R"",""B"""
"2012-09-25,""2017-01-13"",""YAMAHA"",""XP500"",""B"""
"2005-02-23,""2017-01-13"",""KYMCO"",""GRAN DINK 125"",""CU"""
"2011-11-03,""2017-01-13"",""HONDA"",""CBR600F"",""B"""
"2006-02-17,""2017-01-13"",""HONDA"",""SES 125"",""B"""
"2011-02-16,""2017-01-13"",""YAMAHA"",""YP125R"",""B"""
"2006-01-05,""2017-01-13"",""YAMAHA"",""YP250R"",""B"""
"2006-02-16,""2017-01-13"",""GAS-GAS"",""ENDUCROSS"",""B"""
"2016-11-22,""2017-01-13"",""YAMAHA"",""GPD125-A"",""M"""
"2016-09-06,""2017-01-13"",""YAMAHA"",""XP500"",""B"""
"1991-06-14,""2017-01-13"",""HONDA"",""NH90 YUPI"",""B"""
"1991-03-07,""2017-01-13"",""DERBI"",""GPR 75"",""V"""
"1991-03-19,""2017-01-13"",""HONDA"",""SCOOPY 75"",""GI"""
"2015-06-03,""2017-01-14"",""BETA"",""EVO 300CC 2T"",""B"""
"2010-11-11,""2017-01-14"",""YAMAHA"",""XP500A"",""B"""
"2014-09-18,""2017-01-14"",""KAWASAKI"",""ER 6N ABS"",""A"""
"2016-05-04,""2017-01-14"",""HONDA"",""WW125EX"",""B"""
"1989-10-11,""2017-01-14"",""SUZUKI"",""LIDO"",""H"""
"2016-11-24,""2017-01-14"",""HONDA"",""SH125AD"",""B"""
"2001-05-10,""2017-01-14"",""HONDA"",""SH100"",""B"""
"2003-08-18,""2017-01-14"",""SUZUKI"",""GS500"",""GI"""
"2013-11-05,""2017-01-14"",""KYMCO"",""XCITING 400"",""V"""
"2011-05-20,""2017-01-14"",""SUZUKI"",""UX125"",""B"""
"2012-12-18,""2017-01-14"",""YAMAHA"",""YP125R"",""B"""
"2009-11-19,""2017-01-14"",""DAELIM"",""ROADWIN"",""M"""
"1998-12-23,""2017-01-14"",""SUZUKI"",""TU250XX 20H"",""GC"""
"2010-05-18,""2017-01-14"",""HONDA"",""SH125"",""MA"""
"2009-03-18,""2017-01-14"",""SUZUKI"",""UH125"",""B"""
"2016-10-24,""2017-01-15"",""SUZUKI"",""UH125"",""B"""
"2011-05-04,""2017-01-15"",""APRILIA"",""SPORT CITY ONE 125"",""B"""
"2016-06-22,""2017-01-15"",""HONDA"",""MSX125"",""CE"""
"2006-01-09,""2017-01-15"",""HONDA"",""SH125"",""B"""
"2007-10-02,""2017-01-15"",""HONDA"",""SH125"",""B"""
"2012-10-30,""2017-01-15"",""KTM"",""KTM 250 EXC"",""B"""
"2009-03-26,""2017-01-15"",""HONDA"",""PES125"",""B"""
"2014-02-20,""2017-01-15"",""KTM"",""KTM 200 EXC"",""B"""
"2010-01-14,""2017-01-15"",""HONDA"",""PES125"",""B"""
"2007-08-02,""2017-01-15"",""APRILIA"",""SPORT CITY 125"",""B"""
"1998-09-11,""2017-01-15"",""SUZUKI"",""GZ250X Y98"",""V"""
"1998-10-30,""2017-01-15"",""SUZUKI"",""TU 250 XW"",""SE"""
"2005-04-29,""2017-01-15"",""HONDA"",""SES 125"",""BI"""
"2005-09-16,""2017-01-16"",""YAMAHA"",""WR450F"",""B"""
"2007-09-05,""2017-01-16"",""PIONEER"",""XF125T-10E"",""CA"""
"2015-07-28,""2017-01-16"",""SUZUKI"",""UK110"",""B"""
"2004-03-25,""2017-01-16"",""YAMAHA"",""YP180E"",""SE"""
"2016-09-07,""2017-01-16"",""PIAGGIO"",""X EVO 250"",""M"""
"2009-11-09,""2017-01-16"",""HARLEY DAVIDSON"",""FLSTC HERITAGE"",""L"""
"2005-09-08,""2017-01-16"",""PIAGGIO"",""FLY 125"",""TF"""
"2013-08-02,""2017-01-16"",""HONDA"",""NHX110WH"",""CE"""
"2015-10-30,""2017-01-16"",""HONDA"",""SH125D"",""B"""
"2007-03-21,""2017-01-16"",""HONDA"",""SES125"",""MA"""
"2005-08-08,""2017-01-16"",""S.Y.M"",""HD125"",""CA"""
"1985-08-08,""2017-01-16"",""VESPA"",""IRIS 200"",""B"""
"2014-10-29,""2017-01-16"",""HONDA"",""CBF125M"",""M"""
"2005-06-22,""2017-01-16"",""PIAGGIO"",""VESPA LX"",""TF"""
"2007-06-15,""2017-01-16"",""APM"",""KX250F"",""B"""
"2015-06-11,""2017-01-16"",""KYMCO"",""SUPER DINK 125"",""Z"""
"2015-11-05,""2017-01-16"",""HONDA"",""SH125D"",""B"""
"2016-03-03,""2017-01-16"",""YAMAHA"",""YP250RA"",""B"""
"2009-05-08,""2017-01-16"",""HONDA"",""SH125"",""M"""
"1988-03-17,""2017-01-16"",""VESPA"",""IRIS 200"",""CO"""
"2009-11-25,""2017-01-16"",""S.Y.M"",""GTS 125"",""B"""
"2012-07-05,""2017-01-16"",""HONDA"",""NSC110WH"",""B"""
"2005-09-07,""2017-01-16"",""HONDA"",""SH 150"",""B"""
"2015-06-03,""2017-01-17"",""RIEJU"",""TANGO 250"",""HU"""
"2016-06-21,""2017-01-17"",""SUZUKI"",""UH125"",""GU"""
"2006-04-10,""2017-01-17"",""GILERA"",""RUNNER 125"",""H"""
"2016-06-27,""2017-01-17"",""HONDA"",""WW125EX2"",""SE"""
"2016-01-19,""2017-01-17"",""BMW"",""C 650 SPORT"",""M"""
"2016-09-05,""2017-01-17"",""BMW"",""F 800 R"",""M"""
"2011-11-23,""2017-01-17"",""YAMAHA"",""YP125R"",""M"""
"2006-06-27,""2017-01-17"",""HONDA"",""SH125"",""B"""
"1991-06-12,""2017-01-17"",""KAWASAKI"",""2X400"",""MA"""
"2006-07-26,""2017-01-17"",""HONDA"",""SH125"",""B"""
"2004-10-21,""2017-01-17"",""KYMCO"",""PEOPLE 125"",""SE"""
"2009-01-08,""2017-01-17"",""HONDA"",""PES125"",""B"""
"2015-07-23,""2017-01-17"",""BENELLI"",""BN300"",""J"""
"2013-07-26,""2017-01-17"",""YAMAHA"",""YP125R"",""B"""
"2014-11-24,""2017-01-17"",""KEEWAY"",""SUPERLIGHT"",""AL"""
"1983-05-31,""2017-01-17"",""VESPA"",""150 CC"",""MA"""
"2006-07-25,""2017-01-17"",""HONDA"",""SH125"",""MA"""
"2016-01-22,""2017-01-17"",""BMW"",""C 650 SPORT"",""VA"""
"2003-02-28,""2017-01-17"",""HONDA"",""SH125"",""B"""
"2009-11-03,""2017-01-17"",""PEUGEOT"",""LXR125"",""B"""
"2016-07-01,""2017-01-17"",""HONDA"",""CB500XA"",""GC"""
"2003-07-28,""2017-01-17"",""PIAGGIO"",""VESPA GT 200 L"",""TF"""
"2015-07-14,""2017-01-17"",""KYMCO"",""K-XCT 125"",""B"""
"2016-07-21,""2017-01-17"",""KYMCO"",""K-XCT 125I"",""CA"""
"2005-11-17,""2017-01-17"",""HONDA"",""SCV100"",""SE"""
"1991-06-06,""2017-01-18"",""SUZUKI"",""GS-500-E"",""L"""
"2016-01-29,""2017-01-18"",""PIAGGIO"",""VESPA PX125"",""B"""
"2007-11-07,""2017-01-18"",""HONDA"",""SCV 100"",""B"""
"2010-11-22,""2017-01-18"",""HONDA"",""SH125"",""B"""
"1994-08-05,""2017-01-18"",""VESPA"",""IRIS 200"",""B"""
"2005-04-27,""2017-01-18"",""DAELIM"",""ROADWIN"",""M"""
"2016-06-23,""2017-01-18"",""HONDA"",""SH125AD"",""Z"""
"2016-05-31,""2017-01-18"",""SUZUKI"",""AN400A"",""AV"""
"2015-05-25,""2017-01-18"",""KYMCO"",""SUPER DINK 125"",""SE"""
"2012-09-25,""2017-01-18"",""DUCATI"",""MONSTER 796"",""GC"""
"2015-06-19,""2017-01-18"",""HONDA"",""SH300A"",""B"""
"2008-07-29,""2017-01-18"",""HONDA"",""PES 125"",""B"""
"1990-02-01,""2017-01-18"",""SUZUKI"",""GS 500 E"",""B"""
"2009-09-17,""2017-01-18"",""YAMAHA"",""YB125"",""B"""
"1987-03-27,""2017-01-18"",""RIEJU"",""MR 80"",""M"""
"2009-12-02,""2017-01-19"",""BUELL"",""LIGHTNING CITYX"",""M"""
"2015-11-02,""2017-01-19"",""YAMAHA"",""XP500"",""M"""
"2006-10-09,""2017-01-19"",""HONDA"",""SES125"",""B"""
"2006-03-30,""2017-01-19"",""APRILIA"",""ARRECIFE 125"",""CA"""
